provider_name,provider_type,address,emirate
Dr. Atiqur Rahman Polyclinic Llc,Clinic,"Saeed Al Khalil Bldg, 101, 1St Floor, Near Emke Supermarket Bal Urouq St. Al Murror",Abu Dhabi
Dr. Gupta Medical Clinic,Clinic,110; F-1 Nasser Tower Electra Street Electra Street,Abu Dhabi
Dr. Ibrahim Awad Clinic,Clinic,"Al Bu Qubai Tower, Near Al Muh Electra Street Electra Street",Abu Dhabi
Dr. Mubarak Shaikh Clinic (Zia),Clinic,"Alya Pharmacy Building, First Floor, Electra Street  Al Danah",Abu Dhabi
Eastern Al Ahili Medical Centre-Branch1,Clinic,Sal Al Amri Building Near Nbd Al Ain Road Musaffah 2,Abu Dhabi
Eastern Al Ahlia Medical Ctr(Ahalia),Clinic,Workers City 2-China Baniyas W Baniyas Street Mafraq,Abu Dhabi
Ehg Emirates Hospital Day Surgery Llc,Clinic,"Podium 2,Shining Towers Mubarak Bin Mohammed St. Khalidiyah",Abu Dhabi
Elaj Medical Centre - Abu Dhabi,Clinic,"Building 14,Bin Arar Center , Shark 11 Najda Street Najda Street",Abu Dhabi
Elite Style Physiology Treatment Centre,Clinic,Adcp Tower D Behind Honda Showroom Electra Strt,Abu Dhabi
Emerald Medical Centre,Clinic,"Shop No. 5,6,7,8, M37 16Th Street Industrial City Of Abu Dhabi",Abu Dhabi
Emirates Confidenty Medical Centre,Clinic,"M1 And M2,Next To Baby Mart Abu Baker Al Sadiq Al Murabaa",Abu Dhabi
Emirates Dermatology & Cosmetology Cente,Clinic,Bl No.836Stret 30 Al Khaleej Al Arabi Street New Marhaba,Abu Dhabi
Emirates Jordanian Medical Center,Clinic,Ground To 2 Exit 40 Baniyas West Baniyas,Abu Dhabi
Etihad Visa Screening Center,Clinic,Abudhabi Seha Abudhabi,Abu Dhabi
Ever Care Medical Clinic,Clinic,59  5 St. M17 Mussafah,Abu Dhabi
Excellent Medical Center Llc,Clinic,"Sawaeed Residential Compound,Ground Floor  Al Mafraqworker City 2",Abu Dhabi
Exeter Mc For Bone & Joint Health-Auh,Clinic,"Villa 10,Behind Gulf Diag Hosp Al Khaleej Al Arabi Street Al Bateen",Abu Dhabi
Expert Medical Clinic,Clinic,Mojumaat Workerss City Hameem Road Hameem,Abu Dhabi
Express Ghayathi Clinic,Clinic,1St Floor Near Uae Excahange Sanayya,Abu Dhabi
Extra Care Medical Centre Llc,Clinic,Nahel Tower Same Bldg Of Nbo Elektra Street Al Najda Street,Abu Dhabi
Famous Medical Center,Clinic,Plot 48 M10 Mussaffah  Mussafah Industrial Area,Abu Dhabi
First Global Clinic,Clinic,"Villa#6, Opp Bmw Showroom, Khalidiya Abu Dhabi",Abu Dhabi
Freedom Medical Polyclinic,Clinic,"2Nd Floor, Abu Tariq Furniture Muroor Road Markaziya",Abu Dhabi
Genet Medical Center,Clinic,"Junaibi Tower ,2Nd Floor Opposite Emirates Discount Market Al Dhafra",Abu Dhabi
Ghanim Medical Clinic,Clinic,Kuwaiti Bldg Flr 101 Al Markaziyah Al Markaziyah,Abu Dhabi
Golden Choice Medical Center,Clinic,First Floor M17 Musafah ¿Sanyya  Musafah Sanayya,Abu Dhabi
Golden Health Medical Center,Clinic,Al Salam Living City Hameem Road Al Salam Living City,Abu Dhabi
Golden Health Mobile Medical Unit,Clinic,Najda Street  ,Abu Dhabi
Goldencare Medical Center,Clinic,"Building 94,Ground Floor  14Th Street",Abu Dhabi
Gulf Intl' Cancer Center,Clinic,Deer Filed Mall Al Bahiya ,Abu Dhabi
Habshan Clinic (ADNOC) Y-251,Clinic,Near Habshan Gasco Refinery Habshan Street Habshan Street,Abu Dhabi
Hala Medical Centre,Clinic,Near Uae Exchange  Ghiathy District,Abu Dhabi
Health Clear Medical Center Llc,Clinic,Ahmed Hamd Hameed Alsuwaidi Bl 10Th Street Musaffah Industrial Area,Abu Dhabi
Health Plus Diabetes And Endocrinology L L C,Clinic,Sheikh Sultan Binsayed Al Khaleej,Abu Dhabi
Health Plus Family Health Center Llc,Clinic,Al Raha  Abu Dhabi,Abu Dhabi
Health Plus Family Health Center Llc Br 1,Clinic,Al Bandar  Abu Dhabi,Abu Dhabi
Health Plus Fertilty Center Abu Dhabi,Clinic,Hazaa Bin Zayed  The First St  Al Karama,Abu Dhabi
Healthplus Womens Health Center L Lc,Clinic,Hazaa Bin Zayed  The First St  Al Karama,Abu Dhabi
Holistic Medical Centre- Sole Propreitorship L.L.C. Branch,Clinic,"Al Dhafra, Madinat Zayed City",Abu Dhabi
Holistic Medical Centre-Sole Propreitorship Llc,Clinic,Villa#141 Oppo Alforsan Htl Khalifa City A,Abu Dhabi
Hope Medical Center,Clinic,Gcc New Offfice Gf Near Al Jaber Labor Camp Mafraq Worker City 1,Abu Dhabi
Ibn Nafees Medical Center (Dublin),Clinic,"401-402,Bin Sagar Tower Najda Street Najda Street",Abu Dhabi
Ibn Sina Medical Centre,Clinic,Al Khalidiya Rotana Mezanine Flr Near Al Manara Ph,Abu Dhabi
Ibn Sina Medical Centre- Branch 1,Clinic,Al Reef Downtown Block F2 Near Al Manara Ph,Abu Dhabi
Imperial College London Diabetes Centre,Clinic,"29Th Street, Al Safarat Khaleej Arabi Street Khaleej Arabi Street",Abu Dhabi
Intercare Health Center Llc,Clinic,"35B Marina Village Mirage Resto, Marina Mall Marina Breakwater",Abu Dhabi
Ishtar Medical Centre,Clinic,Fatima Bint Mubarak Street Oppsite Al Amriah Cinema Near Hamdan Kfc,Abu Dhabi
Journ Yafour Med Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Baniyas Baniyas Baniyas,Abu Dhabi
Karachi Medical Polyclinic,Clinic,"M-37, Opposite  Al-Miraj Supermarket Mussaffah",Abu Dhabi
Khalidiya Urgent Care Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Next To Khalidiyah Mall Mubarak Bin Mohammed St Al Khalidiyah,Abu Dhabi
Khalifa A Health Center-SEHA (No Dental Services On Direct Billing),Clinic,Khalifa  Khalifa City,Abu Dhabi
Khyber Medical Center,Clinic,Anjaz Building 1St Floor Emirates Transport Street Madinat Zayed,Abu Dhabi
Kids Heart Medical Center Llc,Clinic,"Flat 54,   Karamah Street Liwa",Abu Dhabi
Kohat Medical Centre Llc,Clinic,7 And 8 Shop Near Alghaza Mussaffah,Abu Dhabi
Kohat Valley Medical Centre L.L.C,Clinic,Street No.10 Shop No.23 Agricukture Building Musaffah,Abu Dhabi
Lifecare Clinic L.L.C,Clinic,Magenta Pearl Village Al Mafraq Workers City 2 Al Mafraq,Abu Dhabi
Lifecare Clinic  L.L.C. - Branch,Clinic,Mountain Gate Property Investm Al Mafraq Workers City Baniyas,Abu Dhabi
Lifecare Medical Center L.L.C.,Clinic,Grnd Floor Razeen Camp Al Watba-Al Mafraq,Abu Dhabi
Liwa Medical Centre L.L.C,Clinic,"Flat No-6, Building No-1 Meziarah Al Dhafra",Abu Dhabi
Llh Medical Center Al Musaffah Branch 1,Clinic,Labotil Camp Cl-1-9-Bg-002 Baniyas,Abu Dhabi
Llh Medical Center Al Musaffah Branch 3,Clinic,Km Trading  16 Street  Musaffah,Abu Dhabi
Llh Medical Centre Al Musaffah(VPS),Clinic,Plot C-173 Nr Al Najah Pvt Sch 28Th Street Shabia 9,Abu Dhabi
Llh Medical Centre L.L.C.,Clinic,"2Nd Flr, Llh Medical Centre Muroor Road Al Markaziya",Abu Dhabi
Madinat Moh Bin Zayed Hlth Care Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Mmbz Maqta'A Maqta'A,Abu Dhabi
Mafraq Dialysis Centre -SEHA,Clinic,Next To Mafraq Hospital Al Mafraq Baniyas District,Abu Dhabi
Mardan Medical Center-Auh,Clinic,Building 1 Near Workers Village Round Abo Musaffah Sanaya 32/2,Abu Dhabi
Mariam Medical Clinic ,Clinic,Rehanna Textile Bldg. Rm 103 1St Floor Elektra,Abu Dhabi
Maxim Medical Centre Llc,Clinic,Al Dhafra Workers Village Bldg Mussafah I-Cad 3 ,Abu Dhabi
Medeor Medical Centre - Yas (VPS),Clinic,1St Flr Yas Mall Bdlg Opp Jumbo Electronics Yas Mall South,Abu Dhabi
Medeor Medical Centre Llc-(VPS),Clinic,"Retail B1, Al Zeina Bldg, Near Nandos Resto, Al Zeina, Al Raha",Abu Dhabi
Medical Services Admin Auh Police Ghq,Clinic,27Th St Al Muroor Road Police Academy Area,Abu Dhabi
Medical Speciality  Center Llc,Clinic,Jasim Ahmed Al Hindi Building Zayed 1St Street Khalidhiya,Abu Dhabi
Medline Medical Centre,Clinic,Medline Medical Centre Building Opp. Village Mall Musaffah Industrial Area,Abu Dhabi
Medlux Medical Center L.L.C.,Clinic,"Al Badi Kohler Road Plot No 6, Shop No 02 Mafraq Industrial Area Zone 1",Abu Dhabi
Medstar Icad Medical Center L.L.C.,Clinic,Sanaya Near Musaffah,Abu Dhabi
Mesk Almadina Medical Centre L.L.C,Clinic,Oppo. Icad Residential 2 Icad Area M40 Mussafah,Abu Dhabi
Mezyad Medical Center,Clinic,Tower 3 Mezyad Mall Mohammed Bin Zayed City,Abu Dhabi
Mobile Blood Bank 2 ,Clinic,Mkasib Street. Al Khallej   Al Arabi Street No. 30,Abu Dhabi
Mobile Mammogram Imaging ,Clinic,15Th St. Mohamad Bin Kahlifa St. Al Etihad   Abu Dhabi,Abu Dhabi
Mubarak Medical Center-Branch 1,Clinic,"Near Al Eshoush Gym Al Eshoush Village, Baniyas Al Mafraq Workers City-2",Abu Dhabi
Nayl Al Shefa Medical Clinics,Clinic,Muhammad Sultan Darmaki Building Near Old Police Station Industrial Area,Abu Dhabi
New Famous Medical Center Llc,Clinic,Salem Hamees Musaffah 34 :Musaffah,Abu Dhabi
New National Medical Centre (Avivo),Clinic,Khalid Khoori Buldng Shabiyah Sector 10 Musaffah,Abu Dhabi
New National Medical Centre Llc Branch 1,Clinic,Unit No. H1C3-3 Hameed Brdg Area Al Dhafra,Abu Dhabi
Nmc Royal Family Medical Centre L.L.C.,Clinic,Prestige Tower Near Capital Ma  Mohammad Bin Zayed Area,Abu Dhabi
Nmc Royal Medical Center -Al Karama Br,Clinic,Near International Community S Al Faris Street Al Karama,Abu Dhabi
Nmc Royal Medical Centre Llc,Clinic,"Nmc Royal Medical Bldg. King Abdulah Bin Abddulaziz Al Saud St, Al Bateen",Abu Dhabi
Nmc Royal Medical Centre Llc Br Shahama,Clinic,Opp. Deerfields Mall C170 Shahama,Abu Dhabi
Noor Al Shifa Medical Center,Clinic,Sea City Pharmacy Building New Shahama Dubai- Mafreq Highway,Abu Dhabi
Noor Alahli Medical Center - Branch 2,Clinic,"M-9, Shabiya  Near Safeer Mall, Musaffah ",Abu Dhabi
Noor Alahli Medical Center - Branch 4,Clinic,Noor Alahli Mc Near Baniyas Court Baniyas West,Abu Dhabi
Noor Alahli Medical Center - Branch 6,Clinic,"Marfa Souq, Opp Abu Saeed Mosque Mirfa",Abu Dhabi
Noor Alahli Medical Center  Branch-1,Clinic,"Madina Mall Icad Residential City Icad,Musaffah",Abu Dhabi
North Island Clinic,Clinic,North Island Oilfield  North Island Oilfield,Abu Dhabi
Oasis Medical Centre - Branch 1 (Ahalia),Clinic,Mohd Ali Almuhairbi Building Near To Taha Medical Centre Al Falah Street,Abu Dhabi
Oasis Medical Centre (Ahalia Group),Clinic,Al Jimi Workers Village Beside Fatimah Supermarket Musaffah Icad,Abu Dhabi
Occu Med Clinic (VPS),Clinic,Global Ascent Business Cntr Mussafah Industrial Area Mussafah,Abu Dhabi
Open Mri Spin Surgery,Clinic,Zone 2 Karama Street Karama Street,Abu Dhabi
Pattaya Medical Centre,Clinic,Rashid Khadm Al Muhayri  B3 Mussafah 37,Abu Dhabi
Prime Care Medical Center Llc,Clinic,Nearby Emirates Identity Autho M/4 Plot No. 11 Musaffah Industrial Area,Abu Dhabi
Prime Cure Medical Center (Auh),Clinic,Mezer Salem Building Next To G Falah Street Falah Street,Abu Dhabi
Proficiency Medical Clinic,Clinic,"Building Number C199 Shabia 12,Near To Model School Mussaffah,",Abu Dhabi
Providence International Med&Cosmetic Ct,Clinic,Sector 38 Near Wadi Al Madeena Sm Musaffah,Abu Dhabi
Quality Care Medical Center Llc,Clinic,"Star Tower Bldg. 1St Flr,Lulu Street Abudhabi",Abu Dhabi
Qusahwira Medical Center,Clinic,"Western Region, Al Dhafrah Abudhabi",Abu Dhabi
Rahat Medical Center,Clinic,"Marina Plaza Tower, Above Qata Lulu Street Markaziya",Abu Dhabi
Rahmath Sila Clinic,Clinic,"Building 457, 1St Floor Near Uae Exchage Bldg, Sila Western Region",Abu Dhabi
Right Choice Medical Center,Clinic,Ight Choice Medical Centre Bdn Musaffah Sanaya 10 Near Alya Supermarket,Abu Dhabi
Royal International Medical Center,Clinic,Elenco Building Beside Lulu Exchange Mafraq,Abu Dhabi
Sahara Medical Center Llc,Clinic,M44 Musaffah Industrial Area Musaffah,Abu Dhabi
Sahil Clinic /Sardar Ali (ADNOC),Clinic,Liwa Street Hamam Road Sahil,Abu Dhabi
Sama Alshamkha Medical Centre,Clinic,"42,43 Floor, Near Al Qima School Al Shamkha",Abu Dhabi
Sas Al Nakhl Clinic,Clinic,International Airport Road  Abudhabi,Abu Dhabi
SEHA Dialysis - Al Rahba-SEHA,Clinic,Al Rahba Al Rahba Al Rahba,Abu Dhabi
SEHA Dialysis - Delma-SEHA,Clinic,Western Region Western Region Western Region,Abu Dhabi
SEHA Dialysis - Ghaithy-SEHA,Clinic,Western Region Western Region Western Region,Abu Dhabi
SEHA Dialysis - Madinet Zayed-SEHA,Clinic,Western Region Western Region Western Region,Abu Dhabi
SEHA Dialysis - Mirfa-SEHA,Clinic,Western Region Western Region Western Region,Abu Dhabi
SEHA Dialysis - Sila-SEHA,Clinic,Western Region Western Region Western Region,Abu Dhabi
SEHA Dialysis - Skmc-SEHA,Clinic,Al Karama St  ,Abu Dhabi
SEHA Dialysis - Tawam-SEHA,Clinic,Tawam Campus Tawam Campus Tawam Campus,Abu Dhabi
SEHA Dialysis Services - Al Mafraq Hospital,Clinic,Al Mafraq  Abudhabi,Abu Dhabi
SEHA Dialysis Services - Al Wagan Hospital,Clinic,(Administration Offices   2Nd Floor,Abu Dhabi
SEHA Mobile Clinic 1-SEHA (No Dental Services On Direct Billing),Clinic,Abu Dhabi  ,Abu Dhabi
SEHA Mobile Clinic 2-SEHA (No Dental Services On Direct Billing),Clinic,Abu Dhabi  ,Abu Dhabi
SEHA Mobile Clinic 3 (No Dental Services On Direct Billing),Clinic,Abu Dhabi Island  Auh,Abu Dhabi
SEHAty Medical Center,Clinic,Al Dhafra Workers Village Icad 3-S 29 Musaffah South,Abu Dhabi
Shah Al Hosn Plq,Clinic,Onshore  Onshore,Abu Dhabi
Shah Clinic (ADNOC),Clinic,68 Km S/West Of Asab 165 Kms F 68 Km S/West Of Asab 165 Kms F Shah I Field,Abu Dhabi
Shahama Health Center-SEHA (No Dental Services On Direct Billing),Clinic,Shahama Shahama Shahama,Abu Dhabi
Shaheen Medical Center,Clinic,Ahmed Sultan Marta Al Halami 1St Floor Madina Zayed,Abu Dhabi
Sheikh Khalifa Energy Clinic-ADNOC-Skec,Clinic,Sheikh Khalifa Energy Complex  Abudhabi,Abu Dhabi
Sheikh Khalifa Medical City Dialysis Centre,Clinic,Karama Street   Abu Dhabi City,Abu Dhabi
Shrouq Al Sabah Medical Center,Clinic,209 Baladiya Street  Al Ameriya,Abu Dhabi
Sir Baniyas Clinic (No Dental Services On Direct Billing),Clinic,Bani Yas   Abu Dhabi,Abu Dhabi
South Island Clinic (Zadco),Clinic,Abu Dhabi  South Island Oilfeild,Abu Dhabi
Star Al Ahalia Medical Center (Ahalia),Clinic,"Build. No:- C76 Near To Gayathi Market Tariff Road,Gayathi",Abu Dhabi
Star Medical Center Llc Branch- 1,Clinic,"Muhammad Ali Samad Bldg 26 Musaffah ,Sanayya Near Marqab Ph",Abu Dhabi
Swat Medical Poly Clinic,Clinic,Swat Pharmacy Bldg Near Gulf Garden Restaurant Sanaiya,Abu Dhabi
Tabibak Medical Center,Clinic,Al Rayan Workers Village  Baniyas,Abu Dhabi
Tabibak Medical Clinic (Golden Health),Clinic,Campco Properties Hameem Road Hameem Area,Abu Dhabi
Tajmeel Kids Park Medical Centre L.L.C.,Clinic,G Floor Fun Zone Emirates Park Near Emirates Park Zoo Al Shahama,Abu Dhabi
Tajmeel Specialized Medical Center Llc,Clinic,Al Dar Hq Building Shahama Road Al Dar Area,Abu Dhabi
Tawam Dialysis Centre,Clinic,Tawam   Near Abela Supermarket,Abu Dhabi
Tawam Rehabilitation Center,Clinic,Eastern  Al Ain Region Cornor Of Khalifa Street,Abu Dhabi
The Doctors Medical Center Llc,Clinic,"Villa 106 Opp Seha Auh Health Bateen St, Khalidiyah Corniche Road",Abu Dhabi
The Specialist Diabetestreatment Br2,Clinic,"Healthpoint Hospital,Zayed Sports City,Saif Ghobash Street",Abu Dhabi
Top Care Medical Centre,Clinic,Near Fresh & More Hypermarket Industrial City Icad Residential City,Abu Dhabi
Umm Al Dalkh Clinic (Zadco),Clinic,Off Shore  Umm Al Dakh Oilfield,Abu Dhabi
Umm Al Lulu Clinic (ADNOC),Clinic,Off Shore  Off Shore,Abu Dhabi
Umm Shaif Super Complex (Ussc)/ Umm Shai,Clinic,Das Island  Das Island,Abu Dhabi
Unique Health Care Clinic L.L.C.,Clinic,Al-Sarab Building Near Ubl Bank Mussaffah Mussaffah,Abu Dhabi
Upper Zakum Clinic,Clinic,Abu Dhabi  ,Abu Dhabi
Vista Care Specialized Clinic,Clinic,Near Madinatzayd  Al Danah,Abu Dhabi
Wazirustan Clinic Llc ,Clinic,3Rd Floor` Market Area Ghayathi,Abu Dhabi
Well Care Medical Center,Clinic,Electra Street Al Hamra Plaza Blk A-01 ,Abu Dhabi
Well Health Medical Center,Clinic,Al Nahyan Camp Villa Mohd Al Minhal Defense Road,Abu Dhabi
West Island Clinic,Clinic,West Island Oiafeiad  West Island Oiafeiad,Abu Dhabi
Western Towers Al Ahlia Medical Centre,Clinic,"Shop No 10 Near Al Maya Super Market Mze19,Sanaya,Madinath Zayed",Abu Dhabi
Yas Healthcare L.L.C,Clinic,"Flr 2, Dusit Thani Complex Opp: Al Jazira Stadium Muroor Street",Abu Dhabi
Zakum Clinic (Zadco),Clinic,Off Shore  ,Abu Dhabi
Zakum West Super Complex Clinic,Clinic,Das Island  Das Island,Abu Dhabi
Zia Medical Centre (Zia),Clinic,Above Uae Exchange Sector Me12 Shabiya Khalifa Shabiyah,Abu Dhabi
Zirku Clinic (Zadco),Clinic,Off Shore  Zirku Island,Abu Dhabi
Al Tadamon Medical Centre,Clinic,Icad Residential City Shop 18-19 Gf Opposite Al Fardan Exchange Mussafa Abu Dhabi Po Box 10541,Abu Dhabi 
Aaliyah Medical Center (AAH),Clinic,"Shop # 209-210, 2Nd Floor, Cit Sheikh Rashid Bin Humaid Nuaim Bustan",Ajman
Abdul Aziz Medical Centre,Clinic,Al Salam Building  F Block Al Hamidiya,Ajman
Access Medical Centre (Aster),Clinic,Near Nesto Hypermarket Al Hamrain Souq Ajman Industrial Area 1,Ajman
Advanced Medical Centre - Ajman-Kmc,Clinic,"Flat # 202,2Nd F,Citymart Buil Sheikh Rashid Bin Humaid Stree Bustan",Ajman
Ajman Medical Centre Llc,Clinic,"Al Zahra Bldg 1St Floor, New Industrial 1 Ar Ajman",Ajman
Al Bustan Medical Clinic,Clinic,"Uaeexchangebuilding Near China Mall, Jurf",Ajman
Al Dhuha Medical Centre,Clinic,"Nearby Nissan Showroom, Opposite Ajman One Towers,  Shaikh Rashid Bin Humaid St Rumailah ",Ajman
Al Gharafa Medical Centre,Clinic,3Rd Flooral Karama Plaz Abank Sheikh Abdullah Bin Rashid Nua Bustan,Ajman
Al Helal Polyclinic,Clinic,Flat # 5 & 61St Floor Hamid Bu Usman Bin Alfan Road Karama,Ajman
Al Hemaya General Clinic L.L.C,Clinic,1St Floor Al Hemaya General Cl Near Lulu Exchange Al Jurf,Ajman
Al Jurf Medical Center,Clinic,Jurf 3 Bldg. 105 & 106 Beside Muroor Opp. Ajman Univ Al Jurf,Ajman
Al Nahrain Specialty Medical Center,Clinic,601-605 Sky Tower Building Sheikh Khalifa Bin Zayed Road Nuaimiya,Ajman
Al Nuaimia Medical Center (Sanaiya),Clinic,New Industrial Area Above Baghdad Supermarket Ajman,Ajman
Al Rafi Clinic,Clinic,Danemcomplex Near Mufleha Supermarket Jurf Industrial Area 2,Ajman
Al Rukn Medical Center,Clinic,"Ajman Bank Bldg. , Al Rashidiya 3 Room 101-106 Al Zaheer Street Al Rashediya3",Ajman
Al Sanaiya Clinic (Sanaiya),Clinic,Al Jerf Above Metro Restaurant Opp Ajm Korea Factory,Ajman
Al Shrooq Polyclinic,Clinic,Al Karama Plazafloor 1Flat 104 Sheikh Rashid Bin Humaid Nuaim Bustan,Ajman
Alain Medical Center,Clinic,Alainsupermarketbuilding Al Nuimia Al Nuimia,Ajman
Amina Medical Center Llc,Clinic,Amina Medical Centre Blgd Behind Ajman University Al Jurf 1,Ajman
Aster Medical Center( Moopens) Ajman,Clinic,Opp Adnoc Petrol Station Sheikh Khalifa Bin Zayed Stree Nuaimiyah,Ajman
Aster Specialist Medical Center,Clinic,"Al Manar Tower Sheikh Rashid Bin Humeed Strt Al Swan, Rashidia-3, Ajman",Ajman
Aura Medical Center L.L.C,Clinic,Behind Ajman Jurf Jail Jurf 2 Industrail Area Ajman Jurf,Ajman
City Medical Centre,Clinic,101; F-1 Bin Ladin Building Mafood Street Bustan,Ajman
Classic Medical Center L.L.C,Clinic,Ajman Gate Tower 10 Floor Industrial Area 2 Ajman,Ajman
Clinica Medical Center Llc,Clinic,13 Flamingo Villas Al Ehihad Road Al Zora,Ajman
Cost Care General Clinic,Clinic,Al Marzooki Building Op Union Cop Nuamiya,Ajman
Elaj Medical Centre,Clinic,Ajman Fort Building Sheikh Rashid Bin Humaid Stree Rumailah,Ajman
Emirates Private Medical Center,Clinic,"Nuimiya Building,Emirates Gas Road,New Industrial Area,Ajman",Ajman
Eve Medical Center L.L.C,Clinic,Jasmin Building Opp New Immigration Office Al Jurf,Ajman
Family Medical Clinic (AAH),Clinic,"Office # 04 & 05, Ground Floor Muctam Street Hamidiya Main Ro Zahra",Ajman
Golden Star Childrens Clinic,Clinic,Noor Building Beside Ajman One Tower Rashediya 3,Ajman
Hala Medical Center,Clinic,Alnayfah Tower P5 Al Itthihad Industrial Area 2,Ajman
Huda Al Alousi Specialised Medical Centr,Clinic,Flamingo Villa No.41 Etihad Street Al Zorah,Ajman
Ibn Sina Medical Centre (AAH),Clinic,Near Nbd Bldg Quds Street Sawan,Ajman
Ibtesam Medical Center,Clinic,Andalus Building 2 Flat 102 Al Rashidiya,Ajman
International Specialists Medical Centre,Clinic,Shafiq Building Kuwait Street Nuaimiyah,Ajman
Khalid Lala Medical Clinic Llc,Clinic,Camp Salam Ground Jeddah Street Jurf,Ajman
Khalid Medical Clinic (Khalid General Clinic),Clinic,Rawabi 2 Bldg Shk Kfa Bin Za Nuaimia 3,Ajman
Llh Specialist Medical Center,Clinic,Mariam Tower King Faisal Street Al Nuaimiya 2,Ajman
Maple Medical Center Llc,Clinic,Al Salam Street  Rawda-3,Ajman
Mariam Dental Center,Clinic,9; F-2 Abdul Amin Building Quds Street Sawan,Ajman
Metro Medical Centre Ajman,Clinic,Flat 3&4 Badar Building Shaik Khalifa Bin Zayed Nuaimiyah,Ajman
Naseem Al Manamma Specialized Center,Clinic,Villa Num 11 Ground Floor Alnakheel,Ajman
National Clinic (Sanaiya),Clinic,New Industrial Area Lucky Mart Bldg Near Lucky Roundabout,Ajman
New Ibin Sina Medical Centre (AAH),Clinic,2Nd Flr Near Trafic&Lic Depart Sheikh Ammar Bin Humaid St Al Juruf,Ajman
Nmc Medical Centre Ajman Llc(NMC),Clinic,"Near Safeer Hypermarket Samha Plaza Opp Al Khor Tower, Rashidiya",Ajman
Northern Al Ahliah Medical Centre - Ajma,Clinic,Al Wakf Building Gf Al Bustan Street Al Bustan Area,Ajman
Prime Medical Center Ajman,Clinic,Grand Mall Sheikh Khalifa Bin Zayed St Al Rashidyah,Ajman
Red Maple Medical Center Llc,Clinic,Al Jurf Ind.Area-3  Bahiya,Ajman
Right Health Clinic Jurf Llc,Clinic,Shopno1 Ext To Al Roayah Al Naqyah Gen Jurf Industrial Zone 2,Ajman
Right Health Clinic Jurf2 Llc,Clinic,Shop No 2 Jurf Industrial Zone 2 Ajman,Ajman
Sarah Medical Center-Shams Grp,Clinic,Rashid Al Badwani Building Hatta Road Muzierah,Ajman
Shifa Al Jazeerah Medical Centre Llc,Clinic,Muhdda Near Nesto Hyper Market New Sanaya,Ajman
Skin And Teeth Medical Center Llc,Clinic,Flamingo Villa Opp Shk Zd Msq Al - Zorah,Ajman
Thumbay Clinic Llc Branch (Ajm),Clinic,Hytham Building Near Honda Showroom Ajman,Ajman
Al Ain Ahili Medical Centre (Ahalia Grp),Clinic,Villaopposite Al Sahir Cafeter Sheikh Khalifa Street Tub Alouda Area,Al Ain
Al Ain Airport Clinic-SEHA (No Dental Services On Direct Billing),Clinic,Al Ain Airport Al Ain Airport Al Ain Airport,Al Ain
Al Ain Cromwell Medical Ctr-Hayar (Ubc),Clinic,"Bldg 2 Street 22, Ramlath Al Hayar",Al Ain
Al Ain Cromwell Medical Ctr-Yahar (Ubc),Clinic,"Bldg 46 Street 1, Al Riffa Al Yahar",Al Ain
Al Andalus Medical Center,Clinic,1St Floor And 3Rd Floor Beside Adib Ladies Bank Oud Al Al Ain,Al Ain
Al Basheer Medical Center Llc,Clinic,"Hayat Centre Building M1 & M2 Above Hayat Centre, Main Street  Central District",Al Ain
Al Faqa Primary Health Care Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Al Faqa Al Faqa Al Faqa,Al Ain
Al Farabi Medical Center Llc,Clinic,"Office # 03, 1St Floor, Omeir Main Street Industrial",Al Ain
Al Hayer Primary Health Care Center-SEHA (No Dental Services On Direct Billing),Clinic,Al Hayer Al Hayer Al Hayer,Al Ain
Al Hilal Medical Clinic,Clinic,Building No.252 Above Lulu Exchange  Town Centre,Al Ain
Al Hili Primary Health Care Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Al Hili Al Hili Al Hili,Al Ain
Al Jahli Medical Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Al Jahil Al Jahil Al Jahil,Al Ain
Al Jimi Medical Polyclinic,Clinic,Toencentre Central District Alain,Al Ain
Al Jimi Medical Polyclinics Branch 1,Clinic,"M Post Building  Near Al Rayyan Pharmacy,Main Street Al Wagan",Al Ain
Al Madar Medical Center - Branch 2,Clinic,Zahker Street Al Ain Al Ain,Al Ain
Al Madar Medical Center - Branch(Madar),Clinic,Near Dubai Islamic Bank Vimi Ameria Street Vimi Ameria Street,Al Ain
Al Maqam Primary Health Care Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Al Maqam Al Maqam Al Maqam,Al Ain
Al Masoudi Primary Health Care Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Al Baladiyya Street Al Baladiyya Street Al Baladiyya Street,Al Ain
Al Muweiji Primary Health Care Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Al Muweji Al Muweji Al Muweji,Al Ain
Al Niyadat Primary Health Care Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Al Niyadat Al Niyadat Al Niyadat,Al Ain
Al Noor Hospital Clinics - Al Ain Br 3,Clinic,Ground Al Bawadi Mall Bldg. Zayed Bin Sultan St Street 137,Al Ain
Al Noor Hospital Clinics-Al Ain-Branch6,Clinic,Sheik Salem Al Amri Bldg Al Yahar North Al Yahar,Al Ain
